,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn
gender,1.0,-0.0018737116382607595,-0.0018080796617890192,0.010516611922734075,0.00510622261994984,-0.006487672136208101,-0.01175369122122214,-0.014569323728667193,-1.9219114487004706e-06,-0.00861209507899784
SeniorCitizen,-0.0018737116382607595,1.0,0.01647865759741389,-0.2111850884939573,0.016566877681809315,0.008576401079279374,0.15652955931117266,0.22017333857627205,0.10265158978041383,0.15088932817647233
Partner,-0.0018080796617890192,0.01647865759741389,1.0,0.4526762829294659,0.37969746116829306,0.017705663223971994,-0.014876622287891071,0.0968479362564748,0.31836389541625,-0.15044754495917623
Dependents,0.010516611922734075,-0.2111850884939573,0.4526762829294659,1.0,0.15971233121691789,-0.0017616785446837207,-0.11137722919364468,-0.11389023002193566,0.0635933049488106,-0.1642214015797254
tenure,0.00510622261994984,0.016566877681809315,0.37969746116829306,0.15971233121691789,1.0,0.008448206732743782,0.0061524815982710816,0.24789985628615094,0.8254640864073051,-0.35222867011307885
PhoneService,-0.006487672136208101,0.008576401079279374,0.017705663223971994,-0.0017616785446837207,0.008448206732743782,1.0,0.016504805732569586,0.24739796321413557,0.11301280856390697,0.011941980029003084
PaperlessBilling,-0.01175369122122214,0.15652955931117266,-0.014876622287891071,-0.11137722919364468,0.0061524815982710816,0.016504805732569586,1.0,0.35214996779598723,0.15805459640944988,0.19182533166646878
MonthlyCharges,-0.014569323728667193,0.22017333857627205,0.0968479362564748,-0.11389023002193566,0.24789985628615094,0.24739796321413557,0.35214996779598723,1.0,0.6508643497230377,0.19335642223784716
TotalCharges,-1.9219114487004706e-06,0.10265158978041383,0.31836389541625,0.0635933049488106,0.8254640864073051,0.11301280856390697,0.15805459640944988,0.6508643497230377,1.0,-0.19903683186929222
Churn,-0.00861209507899784,0.15088932817647233,-0.15044754495917623,-0.1642214015797254,-0.35222867011307885,0.011941980029003084,0.19182533166646878,0.19335642223784716,-0.19903683186929222,1.0
